Jogador1 7 x 3 Jogador2 | Vencedor: Jogador1
Jogador1 7 x 0 Jogador2 | Vencedor: Jogador1
Jogador1 7 x 3 Jogador2 | Vencedor: Jogador1
Jogador1 7 x 1 Jogador2 | Vencedor: Jogador1
Jogador1 7 x 1 Jogador2 | Vencedor: Jogador1
Jogador1 7 x 1 Jogador2 | Vencedor: Jogador1
Jogador1 7 x 0 Jogador2 | Vencedor: Jogador1
Jogador1 4 x 7 Jogador2 | Vencedor: Jogador2
Jogador1 7 x 1 Jogador2 | Vencedor: Jogador1
Jogador1 7 x 1 Jogador2 | Vencedor: Jogador1
Jogador1 7 x 0 Jogador2 | Vencedor: Jogador1
Jogador1 7 x 0 Jogador2 | Vencedor: Jogador1
Jogador1 7 x 0 Jogador2 | Vencedor: Jogador1
Jogador1 7 x 0 Jogador2 | Vencedor: Jogador1
Jogador1 7 x 0 Jogador2 | Vencedor: Jogador1
Jogador1 7 x 1 Jogador2 | Vencedor: Jogador1
Jogador1 7 x 0 Jogador2 | Vencedor: Jogador1
Jogador1 7 x 0 Jogador2 | Vencedor: Jogador1
Jogador1 7 x 0 Jogador2 | Vencedor: Jogador1
Jogador1 7 x 1 Jogador2 | Vencedor: Jogador1
Jogador1 7 x 1 Jogador2 | Vencedor: Jogador1
Jogador1 7 x 2 Jogador2 | Vencedor: Jogador1
Jogador1 7 x 0 Jogador2 | Vencedor: Jogador1
Jogador1 7 x 0 Jogador2 | Vencedor: Jogador1
Jogador1 7 x 0 Jogador2 | Vencedor: Jogador1
Jogador1 7 x 2 Jogador2 | Vencedor: Jogador1
Jogador1 7 x 1 Jogador2 | Vencedor: Jogador1
